"tx","wc","x","y"
1,21,80.666625977,43
0,0,16.770828247,4
0,0,21.5625,16
1,4,33.104156494,5
1,2,7.0227241516,0
1,13,119.375,183
0,0,6.553188324,0
1,6,36.104156494,165
0,0,9.6315765381,0
1,11,32.854156494,137
0,0,64.166625977,11
1,8,18.895828247,216
0,0,26.70211792,63
0,0,43.291656494,0
1,11,24.645828247,58
1,7,84,129
1,12,115.02081299,77
1,8,3.2325572968,30
0,0,29.208328247,0
1,7,31.104156494,68
1,6,23.125,1
1,29,44.833312988,0
1,10,3.7291660309,0
1,12,479.5625,1
0,0,68.895812988,249
1,14,17.416656494,1
0,0,14.8125,0
0,0,34.604156494,0
0,0,7.0208320618,2
1,32,10.1875,2
0,0,100.3125,28
1,4,22.8125,0
0,0,13.255317688,0
0,0,84.8125,0
1,26,42.10635376,0
1,9,49.5625,268
0,0,20.333328247,441
1,13,78.191467285,45
1,8,28.791656494,16
0,0,13.066665649,1
0,0,7.3488349915,0
1,11,36.458312988,1
0,0,21,0
1,9,21.355545044,0
1,8,32,1
0,0,91.531860352,0
1,8,26.8125,52
1,9,24.458328247,75
0,0,3.4893608093,3
1,39,53.104156494,265
1,33,19,115
1,3,71.25,241
0,0,20.6875,82
0,0,20.145828247,25
0,0,59.104156494,6
1,11,12.895828247,122
0,0,8.6458282471,7
0,0,209.16662598,420
1,14,4.3684196472,0
1,5,44.583312988,12
1,9,56.270812988,5
0,0,44.416656494,0
0,0,168.22912598,204
1,16,9.4782562256,4
1,38,44.70211792,74
0,0,21.770828247,2
1,3,7.8333320618,6
1,8,36.5,1
1,19,20.479156494,6
1,3,27.574462891,3
1,9,48.625,92
1,21,8.3541641235,5
0,0,7.4166641235,0
0,0,82.0625,649
0,0,6.8333320618,9
1,24,11.666664124,5
0,0,64.020812988,21
1,9,13.829780579,0
1,6,99.166625977,130
0,0,164.41662598,146
0,0,62.833312988,11
1,12,3.8333320618,2
1,11,118.41662598,58
0,0,18.3125,7
1,35,9.5625,0
1,4,1.9523801804,0
1,2,14.260864258,200
1,33,6.125,2
0,0,11.093017578,11
0,0,5.2708320618,3
0,0,13.5,3
1,25,25.229156494,62
1,7,40.916656494,0
1,11,48.541656494,2
0,0,27.106369019,27
1,10,6.7916641235,1
1,29,88.666625977,64
1,74,22.208328247,6
0,0,11.9375,12
1,12,7.468082428,0
1,2,22.229156494,2
1,52,19.958328247,12
1,19,52.520812988,214
0,0,39.021270752,9
0,0,8,0
1,14,65.833312988,222
0,0,45.5,4
0,0,28.177764893,0
1,7,1.1052627563,1
1,10,41.770812988,16
1,15,10.354164124,3
0,0,15,1
1,33,66.291625977,231
1,7,13.333328247,0
1,6,47.391296387,1
0,0,8.8723373413,50
0,0,75.191467285,73
1,7,65.645812988,649
1,27,65.680847168,231
0,0,0.1666666269,0
1,52,302.02075195,450
1,14,2.7659568787,11
1,20,12.791664124,0
1,14,119.60412598,11
1,13,382.5,452
0,0,53.765930176,100
1,13,41.979156494,3
1,11,69.166625977,71
0,0,15.145828247,5
0,0,17.847824097,0
0,0,0.9583330154,0
1,8,23.260864258,7
1,8,6.8510627747,2
0,0,43.5,4
0,0,84.38293457,0
0,0,30.9375,25
1,13,3.5319137573,0
1,24,12.234039307,6
0,0,24.979156494,0
1,20,17.1875,0
0,0,22.375,7
1,6,31.25,77
0,0,12.854164124,31
0,0,29.416656494,134
0,0,122.625,12
0,0,12.104164124,0
1,38,6.4468078613,63
1,42,102.95831299,0
1,13,51.574462891,0
0,0,139.97912598,353
1,8,31.422210693,0
1,6,17.477264404,0
1,7,41.583312988,2
0,0,101.56518555,0
0,0,28.255310059,96
0,0,30.4375,0
0,0,6.25,0
0,0,22.375,40
1,7,424.0625,238
0,0,234.08325195,2
1,8,0.2857141495,0
0,0,30.666656494,0
0,0,49.191467285,0
0,0,50.70211792,1
1,4,123.5625,259
1,9,3.7272720337,0
1,7,239.9375,376
1,2,23.395828247,0
0,0,13.333328247,7
0,0,106.7020874,0
0,0,0.7906975746,0
0,0,138.35412598,31
1,19,23.0625,0
0,0,26.375,1
0,0,12.416664124,0
1,2,12.729164124,0
1,49,45.695648193,34
0,0,42.191467285,2
1,20,171.875,295
1,31,52.520812988,32
1,8,23.638290405,0
0,0,49.304321289,0
0,0,11.680847168,14
1,14,26.977767944,25
1,2,46.1875,1
0,0,57.9375,1
1,46,42.458312988,0
1,11,61.645812988,1
1,17,12.583328247,32
0,0,5.8611106873,2
0,0,55.541656494,210
1,24,31.604156494,114
0,0,5.382976532,0
1,12,46.729156494,106
1,8,3.2142848969,0
0,0,49.583312988,122
1,10,15.479164124,9
0,0,54.979156494,111
0,0,65.770812988,5
0,0,99.770812988,24
1,20,6.1041641235,0
0,0,9.2438964844,0
0,0,27.979156494,0
0,0,44.625,2
1,28,106.5625,157
0,0,55.041656494,6
1,4,7.6888885498,1
1,24,20.5,24
0,0,22.173904419,0
1,5,55.148925781,2
0,0,19.354156494,4
0,0,14.25,2
0,0,54.708312988,76
0,0,46.361694336,22
0,0,69.875,0
0,0,152.10412598,24
1,7,60.791656494,157
1,7,28.479156494,14
1,34,245.60412598,297
1,47,19.595733643,0
1,23,32.270812988,16
1,10,6.7083320618,61
1,12,5.9375,0
1,10,166.8125,86
1,11,70.0625,5
1,17,57.574462891,51
0,0,30.9375,6
1,47,12.244438171,0
1,24,57.166656494,10
1,15,3.6458320618,0
0,0,22.229156494,0
1,46,14.413040161,0
0,0,8.170211792,0
0,0,120.02124023,1
0,0,129.66662598,298
0,0,36.375,55
0,0,17.173904419,0
0,0,104.27081299,422
0,0,37.854156494,264
0,0,90.478210449,2
1,8,45.479156494,55
0,0,20.1875,82
1,6,69.416625977,1
1,5,5.2173881531,0
1,12,19.395828247,0
0,0,31.583328247,36
0,0,62.291656494,228
1,40,0.8333330154,0
1,23,118.3260498,12
0,0,35.833312988,1
0,0,0.7567563057,0
0,0,38.916656494,47
1,15,71.833312988,85
0,0,91.583312988,34
1,18,80.708312988,84
0,0,87.833312988,113
1,3,32.5,66
0,0,19.583328247,6
0,0,20.4375,5
1,6,47.854156494,4
0,0,100.70831299,135
1,23,18.875,135
1,31,34.872314453,60
0,0,56.208312988,14
0,0,45.958312988,0
1,20,8.6458282471,2
0,0,9.625,13
0,0,18.456512451,1
1,14,19.6875,20
0,0,20.770828247,4
1,83,8.255317688,12
0,0,28.085098267,1
1,21,71.125,166
1,20,11.04347229,0
0,0,65.106323242,244
1,11,48.170196533,4
0,0,20.395828247,0
1,11,48.458312988,24
1,28,31.9375,157
1,19,35.957427979,0
1,11,28.340423584,7
0,0,26.021728516,22
1,7,36.416656494,1
0,0,46.833312988,180
0,0,79.270812988,3
1,26,16.041656494,400
0,0,3.75,0
0,0,71.020812988,282
1,29,3.5957431793,1502
0,0,37.916656494,17
0,0,52.041656494,0
1,22,55.4375,278
0,0,132.84082031,0
1,14,17.5625,23
0,0,5.468082428,6
1,22,183.9375,46
0,0,5.5833320618,1
0,0,48.583312988,20
1,5,72.829772949,3
1,7,12.510635376,1
0,0,55.291656494,216
1,50,157.60412598,93
0,0,25.770828247,10
1,10,38.5625,15
0,0,12.021736145,13
0,0,1.8125,0
0,0,49.270812988,7
1,7,0.9047617912,3
1,11,53.041656494,2
0,0,77.104125977,21
1,13,237.39575195,5
0,0,95.020812988,21
1,12,113.9375,493
0,0,52.333312988,2
0,0,28.617019653,2
0,0,2.0652160645,0
0,0,60.666656494,212
0,0,20.875,20
1,44,4.0434761047,6
0,0,26.75,5
0,0,34.0625,36
0,0,27.166656494,0
1,29,84.958312988,18
0,0,49.6875,60
1,7,9.3043441772,7
0,0,107.4375,710
1,17,65.291625977,46
0,0,8.2954483032,0
0,0,2.5957431793,0
0,0,25.541656494,102
0,0,137.15209961,2
1,15,2,0
0,0,27.395828247,68
0,0,12.375,0
1,14,28.042541504,71
0,0,21.583328247,131
1,13,35.787231445,58
0,0,8.371421814,9
0,0,115.04162598,5
0,0,42.854156494,52
0,0,9.0208282471,0
0,0,54.541656494,70
1,41,38.641021729,0
1,18,30.729156494,0
0,0,41.666656494,0
1,18,61.875,195
1,5,12.145828247,20
0,0,18.808502197,177
0,0,44.083312988,266
0,0,57.604156494,171
0,0,96.041625977,28
0,0,52.111083984,0
0,0,24.75,1
1,28,48.723388672,119
0,0,7.1458320618,4
0,0,5.1875,3
1,21,98.8125,100
0,0,20.666656494,17
1,41,0.9677414894,0
1,13,1.2553186417,0
1,12,8.1041641235,0
0,0,64.0625,4
0,0,48.458312988,37
1,3,10.375,1
1,17,15.229164124,35
1,8,39.234039307,3
0,0,42.67388916,0
1,5,5.9375,1
0,0,2.8888874054,0
1,47,36.434753418,2
0,0,24.020828247,0
1,6,55,1
1,2,4.1666641235,0
0,0,34.583312988,0
0,0,32.166656494,22
1,12,31.895828247,385
1,16,55.1875,106
0,0,88.191467285,20
1,15,100.55316162,119
1,34,36.833312988,117
1,20,29.104156494,0
1,14,19.354156494,0
1,28,79.229125977,325
0,0,27.0625,63
0,0,2.2173900604,0
1,10,44.1875,4
0,0,58.708312988,28
1,10,28.744674683,14
1,7,32.645812988,2
0,0,15.630432129,0
0,0,55.5625,16
0,0,112.33331299,14
0,0,10.208328247,59
0,0,169.75,455
1,17,2.3617019653,0
1,9,98.75,1447
0,0,77.666625977,30
1,46,253.14575195,618
1,14,26.208328247,21
1,8,60.979156494,107
0,0,1.6041660309,3
0,0,53.97869873,8
1,11,114.5625,107
1,13,0.5675673485,2
0,0,93.604125977,87
0,0,141.16662598,749
1,23,45.979156494,59
1,34,6.2291641235,8
0,0,4.6595726013,0
1,5,5.9375,0
1,5,14.479164124,4
0,0,100.80847168,201
1,9,71.5,18
0,0,45.148925781,244
1,8,1.2340421677,2
0,0,7.644443512,5
1,2,11.625,109
0,0,62.25,7
1,6,85.458312988,0
1,19,32.708312988,0
0,0,3.7659568787,5
1,6,40.020812988,118
0,0,44.770812988,7
1,25,12.340423584,16
1,92,73.9375,112
0,0,6.6458320618,2
1,21,94.604125977,436
1,16,116.64581299,264
0,0,25.395828247,4
0,0,71.5,12
1,22,6.1999969482,1
0,0,147.1875,423
0,0,188.27075195,430
1,20,28.541656494,33
0,0,13.541664124,11
0,0,39.333312988,162
1,2,2.441860199,0
1,4,4.9166641235,2
0,0,40.3125,12
1,13,37.5625,16
1,10,27.020828247,2
0,0,73.083312988,108
0,0,65.208312988,314
0,0,54.4375,50
0,0,188.61694336,0
0,0,29.1875,184
0,0,1.6666660309,0
1,6,41.375,23
1,29,30.25,2
0,0,4.7872314453,0
0,0,148.14575195,43
1,65,79.25,4
1,20,22.340423584,0
1,52,18.952377319,0
1,38,122.375,6
1,9,15.083328247,22
0,0,15.104164124,88
0,0,78.458312988,0
1,26,27.375,0
1,32,25.604156494,11
1,13,69.791625977,208
0,0,2.7659568787,1
0,0,13.625,43
0,0,111.5,3
1,11,6.5208320618,0
0,0,1.9777774811,0
1,18,11.895828247,7
1,6,181.625,126
0,0,35.645812988,19
0,0,80.913024902,5
0,0,5.2708320618,0
1,31,19.239120483,1
0,0,38.958312988,9
0,0,5.0416641235,20
0,0,11.8125,88
1,10,48.666656494,69
1,11,160.35888672,0
0,0,4.8043441772,27
1,17,30.595733643,132
0,0,18.3125,0
1,7,15.617019653,33
0,0,127.58331299,69
0,0,489.125,38
0,0,5.2173881531,0
0,0,110.52081299,492
0,0,81.479125977,449
1,16,51.229156494,0
0,0,4.3958320618,0
1,6,11.625,18
0,0,28.625,28
0,0,5.3695640564,0
0,0,22.229156494,7
1,9,402.35400391,284
0,0,59.1875,200
1,99,51.6875,248
0,0,5.2888870239,0
1,22,6.75,52
0,0,74.25,154
0,0,17.708328247,108
0,0,37.3125,2
1,72,6.8913040161,1
0,0,58.333312988,0
0,0,0.3191487789,1
0,0,36.8125,0
0,0,30.458328247,108
0,0,315.3125,1
0,0,35,0
0,0,24.604156494,21
1,9,28.8125,38
1,6,18.145828247,0
1,4,3.9565200806,201
0,0,50.630432129,15
0,0,8.5625,2
1,12,78.729125977,269
1,16,34.595733643,0
1,13,166.95825195,465
1,18,159.3125,82
1,4,167.58325195,4
0,0,74.208312988,0
0,0,40.833312988,356
0,0,44.666656494,85
1,13,14.125,46
0,0,41.875,0
1,25,74.8125,57
0,0,24.166656494,0
1,4,49.395812988,20
1,2,18.391296387,75
0,0,61.595733643,4
1,34,49.5,43
0,0,34.4375,18
0,0,118.02081299,361
1,41,26.291656494,2
1,3,22.104156494,11
0,0,16.021270752,0
0,0,2.622220993,0
1,16,89.479125977,4
1,26,6.0833320618,3
0,0,28.020828247,68
1,24,22.6875,2
0,0,7.4893608093,0
0,0,21.520828247,9
1,16,1.6041660309,0
1,8,8.7083282471,54
1,16,84.9375,105
1,35,56.145812988,0
1,11,3.3125,0
0,0,15.760864258,0
0,0,2.3846149445,0
1,49,13,9
0,0,3.7608680725,19
0,0,3.7708320618,0
1,11,75.659545898,0
1,20,22.5,51
0,0,70.5625,106
1,49,46.4375,20
0,0,3.8666648865,9
1,11,7.5208320618,205
0,0,51.791656494,351
1,1,8.1956481934,22
1,10,3.9166660309,17
0,0,20.978713989,24
1,52,68.229125977,15
1,41,195.4375,90
1,6,40.833312988,17
1,13,98.895812988,0
0,0,13.645828247,8
0,0,51.1875,24
0,0,21.479156494,43
1,18,1.7777776718,1
0,0,43.729156494,12
1,26,45.125,54
1,21,62.916656494,3
1,2,0.5555553436,0
0,0,93.479125977,15
1,72,34.75,22
0,0,14.177772522,3
0,0,3.2558135986,6
1,5,34.522705078,7
1,14,8.5333328247,0
1,6,14.659568787,200
0,0,79.041625977,3
1,16,9.2083282471,4
1,42,69.125,21
0,0,41.375,271
0,0,95.104125977,1
0,0,14.106376648,8
0,0,0.5833330154,0
0,0,49.630432129,1
0,0,56.145812988,100
0,0,21.340423584,343
1,12,67.3125,0
0,0,22.765945435,1
0,0,60.229156494,255
1,21,76.520812988,4
0,0,2.5,0
0,0,4.6458320618,0
0,0,46.729156494,18
1,17,62.3125,73
0,0,85.916625977,390
0,0,50.708312988,17
0,0,5.6808509827,0
1,6,35.958312988,109
0,0,21.608688354,3
1,7,107.6875,362
1,15,136.97912598,158
1,24,30.083328247,2
0,0,82.458312988,163
1,45,244.9375,424
1,48,15.270828247,451
0,0,34.375,17
0,0,152.9786377,0
0,0,91.1875,231
1,14,46.5,10
1,11,3.3913040161,0
0,0,60.875,152
1,32,13.565216064,0
1,20,76.458312988,319
1,11,71.914855957,115
1,1,36.458312988,10
1,8,15.604164124,370
0,0,108.5,122
1,24,8.2916641235,0
1,11,27.041656494,8
0,0,14.520828247,0
0,0,114.79162598,8
1,29,15.25,4
1,10,3.9545440674,50
1,6,30.5,0
1,56,143.35412598,6
0,0,85.375,3
0,0,23.604156494,17
1,49,72.645812988,24
1,16,101.29162598,50
1,31,8.5625,25
0,0,6.625,3
0,0,18.5,1
0,0,91.3125,17
0,0,11.291664124,7
0,0,68.595703125,1
1,16,98.895812988,81
1,24,8.9333267212,5
