enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
19970602,1133,75,3.25,1,1,25,1,1
19970614,859,150,3.25,1,0,40,2,1
19970618,713,25,3.25,1,1,23,1,1
19970703,859,30,4.5,1,0,24,1,1
19980421,978,51,7,1,0,28,2,1
19971022,1169,50,3.25,1,0,24,1,1
19971110,969,250,4.5,1,0,48,1,1
19980224,1203,75,20,1,0,39,1,1
19980303,954,75,20,1,0,30,2,1
19980510,514,40,7,1,0,35,2,1
19970117,1219,150,3.25,1,0,35,1,1
19980228,1139,100,14,4,0,25,1,1
19980728,1153,100,20,3,0,32,1,1
19970325,1009,40,8.5,1,0,28,1,1
19970310,1219,50,8.5,1,6,31,1,1
19970410,959,50,4.25,1,4,27,1,1
19970821,1183,75,17,1,0,22,1,1
19980130,613,25,6.5,1,3,23,2,1
19980320,633,25,7,1,1,47,1,1
19980514,633,25,7,1,3,36,1,1
19980713,774,20,7,3,0,20,1,1
19990122,1527,150,4.5,3,0,25,2,1
19970729,1069,30,4.5,1,3,26,1,1
19970905,713,26,6.5,1,0,23,1,1
19980824,633,25,8,3,0,29,1,1
19980901,1266,50,9,3,3,21,2,1
19990120,633,25,9,3,0,24,2,1
19990117,1029,75,4.5,3,0,21,2,1
19980508,1308,150,7,1,0,19,1,1
19980610,899,36,7,3,2,21,1,1
19970128,1108,66,5.5,1,0,3,1,1
19970428,1358,70,11,1,0,28,1,1
19970429,699,25,5.5,1,0,29,1,1
19970529,699,25,5.5,1,0,34,1,1
19970531,879,100,5.5,1,0,28,1,1
19970620,699,5,5.5,1,1,25,1,1
19970528,599,5,5.5,1,0,31,2,1
19970512,979,39,5.5,1,0,26,2,1
19970110,859,33,8.5,1,0,49,2,1
19970420,1191.99,50,5.5,1,0,3,2,1
19970304,599,50,5.5,1,1,23,2,1
19970521,599,25,5.5,1,1,22,1,1
19970718,709,25,4,1,1,28,2,1
19970804,979,50,4,1,1,30,1,1
19970812,449,50,4,1,1,26,2,1
19970114,622.96,25,5.72,1,1,25,1,1
19970810,1017.12,100,4.16,1,2,22,1,1
19970106,1258,65,8,1,1,21,2,1
19970401,879,25,8,1,0,23,1,1
19970215,949,5,4,1,0,33,2,1
19970514,539,25,5,1,0,28,2,1
19970728,489,50,3,1,0,23,2,1
19970319,879,35,8,1,2,20,1,1
19970409,1179,50,4,1,1,28,1,1
19970902,859,19,5.5,1,2,24,1,1
19980131,879,35,22,1,0,31,2,1
19980529,619,30,8.5,1,3,22,1,1
19970306,979,25,5.5,1,0,30,2,1
19970215,648.42,5,5.96,1,0,25,2,1
19970305,2552.54,150,4.46,1,0,0,2,1
19970312,1815.35,500,1.48,1,0,20,1,1
19970125,979,37,17,1,0,23,2,1
19970103,914.84,35,5.86,1,1,34,1,1
19970128,1042.64,37,5.86,1,0,26,1,1
19970505,1227.95,75,5.86,1,0,22,2,1
19970523,591.08,15.98,0,1,0,24,2,1
19970608,1149.14,200,5.86,1,0,24,2,1
19970102,469,5,0,1,1,22,2,1
19970430,580.57,75,2.91,1,1,24,2,1
19970108,1179,46,10,1,0,0,2,1
19970114,859,50,8.5,1,0,27,1,1
19970317,859,50,7.25,1,0,27,1,1
19970318,599,25,5.5,1,1,27,1,1
19970206,840.29,150,11,1,0,34,2,1
19970221,1635.84,125,11,1,0,0,2,1
19970627,637.94,25,2.93,1,0,32,1,1
19970707,718,44,2.75,1,0,40,1,1
19970205,3537,100,5.5,1,0,23,2,1
19970205,3537,100,5.5,1,0,21,2,1
19970207,1179,150,2.75,1,0,30,1,1
19970221,599,5,5.5,1,0,26,1,1
19970219,599,5,5.5,1,0,36,1,1
19970512,549,50,5.5,1,0,35,2,1
19970523,929,50,5.5,1,0,29,2,1
19970414,1179,50,2.75,1,1,22,2,1
19970129,906.25,0,5.81,1,0,33,1,1
19970602,1895.84,15,2.9,1,1,4,2,1
19970919,633.44,25,4.23,1,0,25,1,1
19970131,979,37,5.5,1,0,28,2,1
19970204,1179,5,5.5,1,0,23,1,1
19970428,2029.69,300,2.98,1,0,39,1,1
19970107,1108,60,5.5,1,1,37,1,1
19970115,893.36,35,5.72,1,0,44,2,1
19970101,1307.82,150,5.86,1,1,49,1,1
19970530,929,50,5.5,1,0,30,1,1
19970123,1281.86,10,5.89,1,0,4,1,1
19970412,640.93,25,5.89,1,1,24,1,1
19970105,925.58,33,5.93,1,0,40,2,1
19970206,1591.47,55,5.93,1,0,44,2,1
19970320,1270.38,51,5.93,1,0,0,1,1
19970730,893.25,25,4.31,1,0,40,1,1
19970309,599,25,8,1,0,27,1,1
19970622,1758,10,8,1,0,4,1,1
19970228,1397,100,2.75,1,0,53,2,1
19970313,599,40,5.5,1,0,23,2,1
19970212,1259,100,2.75,1,0,23,2,1
19970314,1226.16,50,2.86,1,0,31,2,1
19970527,859,40,5.5,1,0,29,1,1
19970425,1328,175,10,1,0,24,1,1
19970106,840.29,88,11,1,0,27,2,1
19970126,840.29,44,11,1,0,22,1,1
19970215,840.29,10,17,1,0,18,2,1
19970219,733.79,50,11,1,0,34,2,1
19971226,449,19,4,1,0,25,1,1
19970426,599,26,5.5,1,0,21,1,1
19980415,699,29,6,1,0,32,1,1
